categoria,titulo,archivo original 
artículos en revistas,El corazón de Ignacio,https://drive.google.com/file/d/1XDYpSvGG2mbxBtQD8IWhbkup6KEwHYfB/view
artículos en revistas,Apuntes para una teología de los Ejercicios Espirituales,https://docs.google.com/document/d/1E1jXwxjnWpXk_xxmxF8OfUOuqZAnMYvS/edit?usp=drive_link&ouid=114686207469780326090&rtpof=true&sd=true
artículos en revistas,Apuntes para una teología de los Ejercicios Espirituales (Segunda parte),https://docs.google.com/document/d/1HW7fM9aLgngbkuj5Q9MFBWetNNVMVmGi/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,Cómo comunicar en una sociedad polarizada,https://docs.google.com/document/d/1-yiuLVqFKzsZrwXpYNUFOVWEtVbde0OL/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,Contra el triunfalismo y la mundanidad espiritual,https://docs.google.com/document/d/1Uh9r1s_0OCm9S6ZirnV8PPUDmB9XgKoO/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,El arte de la amistad (Borges lee Don Quijote),https://docs.google.com/document/d/1W1bvxttw6iA48shAzNLXF83WqWchE4RB/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,Para una teología del discernimiento de los espíritus,https://docs.google.com/document/d/1qwearYhfjANGGutgyRjlb-iMThPFssuX/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,Francisco y los movimientos pentecostales,https://docs.google.com/document/d/1UsT_pa2feaZP-rzZ1zOTkuhiKK4pPFVw/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,La fraternidad y el papa Francisco,https://docs.google.com/document/d/14jfnvSv7PrV4gtFZotAagUOypItMorAo/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,La oración de Ignacio,https://docs.google.com/document/d/1Aaj5LpbabPY_4T4oVLTC2gNymdFMnOvt/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,Educar a los hijos según Amoris Laetitia,https://docs.google.com/document/d/1bvtLS1veU0Ql4hgKUu2H-hRA3JKgBKWY/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,El lenguaje simple de Jesús,https://docs.google.com/document/d/1YaEuApe88WXCb3WW6djqljnwd2E9yIbz/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,Un 'protocolo' para el buen combate espiritual,https://docs.google.com/document/d/151D456itZLXqIavpMmLfNiB6VWjCjEId/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,Una nueva lectura de la vida de San Pedro Claver,https://docs.google.com/document/d/1sUOHMu5qQMtdy0rN_IZ320ZeTLDyu9p3/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,Pobreza y fragilidad del planeta,https://docs.google.com/document/d/1yz3byCi_6wxNwOCl0XgxFs1mpVNxKGTK/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,Madeleine Delbrêl,https://docs.google.com/document/d/1dvzJ_214QyGYKYBzRS-yWN1iAWsR3tuW/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,La piedad popular mariana,https://docs.google.com/document/d/1InPDyM_P1XGwHLxIRMEvHl3cMsgU-WOM/edit?usp=drive_link&ouid=113903134095622314413&rtpof=true&sd=true
artículos en revistas,La poesía es un planeta de árboles vivos,https://docs.google.com/document/d/1-wbxNKCtanfBBGeJQ5KvblUDx9hWMmF8/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,«America latina» Le conversazioni di papa Francesco con Hernán Reyes Alcaide,https://docs.google.com/document/d/1-3jEf6cdJvBekIriHmbkp2DvfhXYIkDJ/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,«AMORIS LAETITIA» E IL RINNOVAMENTO DEL LINGUAGGIO ecclesiale  ,https://docs.google.com/document/d/11UooDtKioFJr0ElskEKfGGBVyx0OvyOg/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"educare i figli secondo «amoris laetitia» LA PEDAGOGIA DI PAPA FRANCESCO 
",https://docs.google.com/document/d/1pp4xbnbnDqJa6evul7Mnr52CcWevL2Oq/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"«CHERNOBYL», Ovvero IL PREZZO DELLE MENZOGNE Diego Fares S.I.
",https://docs.google.com/document/d/1lMdK-uTV7Mg2zKhBRg2UTcDJqtJY_3lX/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"«GENERARE FUTURO» Il viaggio apostolico di Francesco in Cile e Perù Diego Fares S.I. - Antonio Spadaro S.I.
",https://docs.google.com/document/d/14BXIXtvA14P0edUfj9Fsl0SvUnSehG9B/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"«io sono una missione»: verso il sinodo dei giovani Diego Fares S.I.
",https://docs.google.com/document/d/17nelnfL_aPYPb_ijk8dPSovUUvNMCCem/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"«LA SAGGEZZA DEL TEMPO» Papa Francesco in dialogo sui grandi temi della vita 
",https://docs.google.com/document/d/1ETlKF8030cYPidb4Vmt0srqzuonYaVHt/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"«QUALE MARIA?» Francesco a Fátima: il mondo ferito, i pastori profeti e Maria madre Diego Fares S.I. - Antonio Spadaro S.I.
",https://docs.google.com/document/d/12AEmHHYo5E5WTJ9hdWybas6yEBSevc2r/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"«SOUL», IL SIMPATICO «GRANDE PRIMA» DELLA NOSTRA VITA",https://docs.google.com/document/d/1jXIlU4SrQYoTd6SHjbOGqmL8GAVz2oQ9/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"A 10 ANNI DA APARECIDA Alle fonti del pontificato di Francesco
",https://docs.google.com/document/d/18uogOUA3Ntf2y-iQBcZWA6MXexhwUv55/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,AIUTI PER CRESCERE NELLA CAPACITÀ DI DISCERNERE,https://docs.google.com/document/d/1o7fSD3I0-ZgTYqG91EgHvvGpUQfAxB_g/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,CHI È IL «CATTIVO PASTORE»? Le caratteristiche e le immagini bibliche proposte da papa Francesco,https://docs.google.com/document/d/1P02NoeGXwHG2Kgwz83G-pY2Gddr-PKoE/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"COME COMUNICARE IN UNA SOCIETÀ POLARIZZATA Diego Fares S.I. - Austen Ivereigh
",https://docs.google.com/document/d/16Nu5uct4oGSDyeccYcDDWgeWtULSwWnC/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,CONTRO IL TRIONFALISMO E LA MONDANITÀ SPIRITUALE,https://docs.google.com/document/d/1uxM6qmzD9s4Fj9BfMyN2Rly4z-7D59ZN/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,CONTRO LO SPIRITO DI «ACCANIMENTO»,https://docs.google.com/document/d/1z0ECgfrisxJ8a7xT6Cyk5pgx4aPuX3fe/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"ESSERE SANTI
",https://docs.google.com/document/d/1sTnYHUfOILkGtSyVzc3MV1BX7thhrNUI/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,FARE L’ESPERIENZA DI SAPERSI DISCEPOLI La lettera di papa Francesco ai sacerdoti,https://docs.google.com/document/d/11bd9-HYpPe78fmnzAxdtHGR3mI1G4pu8/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,FRANCESCO E I movimenti PENTECOSTALI,https://docs.google.com/document/d/1R4plsJXXfco9G6MxO1_rC4HSAB4KgBJt/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"FRANCESCO E LO SCANDALO DEGLI ABUSI IN CILE Le lettere ai vescovi e al santo popolo fedele di Dio
",https://docs.google.com/document/d/18HpkQqQxYxWFye1r5JeZzWoL7iUv5YAc/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,Gli Esercizi spirituali di Papa Francesco ai sacerdoti,https://docs.google.com/document/d/1RqFzVAh-G4BnjiFz10zgVfZfXeqoOl_S/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"GLI OCCHI DELLA FEDE
",https://docs.google.com/document/d/1ohZ1RPn4PTYewFSAD_EcOLsuYFDz6rzM/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,"I GIOVANI, LA FEDE E IL DISCERNIMENTO Verso il Sinodo 2018: le indicazioni di un documento «incompleto»
",https://docs.google.com/document/d/1q3I06d5QikdbizWK4JBSdO65fGrFE4Nm/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,I PARADOSSI DELLA VULNERABILITÀ,https://docs.google.com/document/d/1W4z1ErAbZlLOBgqHiFfqBja1n8I9EQzz/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,I SANTI EVANGELIZZATORI DI POPOLI,https://docs.google.com/document/d/1TzTbGXO8RwUEe8Q0_lPAYnEXGcXc9Zf2/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,Il cardinale Eduardo Pironio (1920-98) La sfida di fare della speranza teologale una speranza storica,https://docs.google.com/document/d/19iqUB4pG0ov8UDvfvP6_iQgx-D17OfqQ/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
